original,augmented,selfies
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,S(c1c2nc[nH]c2ncn1)CC(c1c(=O)n(C)c(=O)n(C)c1N)=O,[S][Branch1][=C][C][=C][N][=C][NH1][C][Ring1][Branch1][=N][C][=N][Ring1][=Branch2][C][C][Branch2][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Ring1][#Branch2][N][=O]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,N[S@+]([OH2+])(c1ccc(CNC(C[C@@H]2C(=O)N(CCc3c4ccccc4[nH]c3)C(=O)N2)=O)cc1)=O,[N][S@+1][Branch1][C][OH2+1][Branch2][Branch1][Ring2][C][=C][C][=C][Branch2][Ring2][Branch2][C][N][C][Branch2][Ring1][P][C][C@@H1][C][=Branch1][C][=O][N][Branch1][S][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][=Ring1][=Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][C][=O][C][=C][Ring2][Ring1][=N][=O]
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,C1CN(C(=O)CCCc2n(Cc3ccccc3)c3ncccc3n2)CCC1C(N)=O,[C][C][N][Branch2][Ring1][S][C][=Branch1][C][=O][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][S][C][C][C][Ring2][Ring1][O][C][Branch1][C][N][=O]
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,C(C1CCN(C(CSc2n3c4c(cccc4)[nH]c3nn2)=O)CC1)(=O)N,[C][Branch2][Ring2][Branch2][C][C][C][N][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][S][C][N][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][NH1][C][Ring1][=Branch2][=N][N][=Ring1][N][=O][C][C][Ring2][Ring1][=Branch1][=Branch1][C][=O][N]
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,[C@H]12N(CCN(C(CCn3c(C)cc(C)n3)=O)CC1)C(=O)CN(Cc1ccccc1)C2=O,[C@H1][N][Branch2][Ring1][#C][C][C][N][Branch2][Ring1][Ring2][C][Branch1][S][C][C][N][C][Branch1][C][C][=C][C][Branch1][C][C][=N][Ring1][#Branch1][=O][C][C][Ring2][Ring1][C][C][=Branch1][C][=O][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=C][=O]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,c1(CNC(=O)C[C@H]2C(=O)N(CCc3c[nH]c4ccccc43)C(=O)N2)ccc([S@@+](N)(=O)[OH2+])cc1,[C][Branch2][Ring2][#Branch1][C][N][C][=Branch1][C][=O][C][C@H1][C][=Branch1][C][=O][N][Branch1][S][C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][C][=C][C][=C][Branch1][=Branch2][S@@+1][Branch1][C][N][=Branch1][C][=O][OH2+1][C][=C][Ring2][Ring1][P]
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c1ccc2n(c(=O)cc(CSc3nc4c(cccc4)c(=O)n3NC(Cc3ccccc3)=O)n2)c1,[C][C][=C][C][N][Branch2][Ring2][P][C][=Branch1][C][=O][C][=C][Branch2][Ring2][Ring2][C][S][C][=N][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][N][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][N][=Ring2][Ring1][=C][C][=Ring2][Ring2][C]
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,c1ccncc1Cn1ccc2n3nc(C)nc3ncc2c1=O,[C][=C][C][=N][C][=C][Ring1][=Branch1][C][N][C][=C][C][N][N][=C][Branch1][C][C][N][=C][Ring1][=Branch1][N][=C][C][=Ring1][#Branch2][C][Ring1][=C][=O]
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,c1cc(C(=O)N2CCC(C(N)=O)CC2)cc2c1C(=O)N1[C@@H](CCCC1)N2C,[C][=C][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][C][Ring1][=Branch2][=C][C][=C][Ring1][P][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][C][C][Ring1][=Branch1][N][Ring1][O][C]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,[C@H]1(CC(=O)NCc2ccc([S@+]([OH2+])(=O)N)cc2)NC(=O)N(CCc2ccccc2)C1=O,[C@H1][Branch2][Ring1][#Branch2][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][=Branch2][S@+1][Branch1][C][OH2+1][=Branch1][C][=O][N][C][=C][Ring1][#Branch2][N][C][=Branch1][C][=O][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=N][=O]
