original,augmented
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,S(c1c2nc[nH]c2ncn1)CC(c1c(=O)n(C)c(=O)n(C)c1N)=O
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,C(CSc1ncnc2c1nc[nH]2)(c1c(=O)n(C)c(=O)n(C)c1N)=O
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,O=c1n(C)c(N)c(C(CSc2ncnc3[nH]cnc23)=O)c(=O)n1C
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,C(c1c(N)n(C)c(=O)n(C)c1=O)(=O)CSc1ncnc2[nH]cnc21
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,Nc1n(C)c(=O)n(C)c(=O)c1C(CSc1c2c(ncn1)[nH]cn2)=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,C(C[C@H]1NC(=O)N(CCc2c[nH]c3c2cccc3)C1=O)(NCc1ccc([S@+]([OH2+])(=O)N)cc1)=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,c12c(CCN3C(=O)N[C@H](CC(=O)NCc4ccc([S@+](=O)(N)[OH2+])cc4)C3=O)c[nH]c1cccc2
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[nH]1c2c(cccc2)c(CCN2C(=O)N[C@H](CC(=O)NCc3ccc([S@@+]([OH2+])(N)=O)cc3)C2=O)c1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,c12c(cccc1)[nH]cc2CCN1C(=O)N[C@H](CC(NCc2ccc([S@@+](=O)([OH2+])N)cc2)=O)C1=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,c12[nH]cc(CCN3C(=O)[C@@H](CC(=O)NCc4ccc([S@+]([OH2+])(=O)N)cc4)NC3=O)c1cccc2
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,N1(C(CCCc2n(Cc3ccccc3)c3c(n2)cccn3)=O)CCC(C(N)=O)CC1
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,O=C(CCCc1n(Cc2ccccc2)c2ncccc2n1)N1CCC(C(=O)N)CC1
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,c1ccc2c(n(Cc3ccccc3)c(CCCC(N3CCC(C(N)=O)CC3)=O)n2)n1
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,c1(CCCC(N2CCC(C(N)=O)CC2)=O)n(Cc2ccccc2)c2ncccc2n1
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,O=C(N1CCC(C(=O)N)CC1)CCCc1n(Cc2ccccc2)c2c(cccn2)n1
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,c1cccc2c1[nH]c1n2c(SCC(=O)N2CCC(C(N)=O)CC2)nn1
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,C1(C(=O)N)CCN(C(=O)CSc2n3c4c(cccc4)[nH]c3nn2)CC1
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,c1cc2c(cc1)n1c([nH]2)nnc1SCC(=O)N1CCC(C(=O)N)CC1
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,c12nnc(SCC(N3CCC(C(=O)N)CC3)=O)n1c1ccccc1[nH]2
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,[nH]1c2n(c3c1cccc3)c(SCC(=O)N1CCC(C(=O)N)CC1)nn2
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,C1N(Cc2ccccc2)C(=O)[C@H]2N(CCN(C(CCn3nc(C)cc3C)=O)CC2)C1=O
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,n1c(C)cc(C)n1CCC(N1CCN2[C@H](C(=O)N(Cc3ccccc3)CC2=O)CC1)=O
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,N1(Cc2ccccc2)C(=O)[C@H]2N(C(=O)C1)CCN(C(CCn1c(C)cc(C)n1)=O)CC2
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,c1ccccc1CN1CC(=O)N2[C@H](C1=O)CCN(C(=O)CCn1nc(C)cc1C)CC2
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,c1cccc(CN2CC(=O)N3CCN(C(=O)CCn4nc(C)cc4C)CC[C@H]3C2=O)c1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,N1(CCc2c3c(cccc3)[nH]c2)C(=O)[C@H](CC(NCc2ccc([S@+]([OH2+])(=O)N)cc2)=O)NC1=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[OH2+][S@@+](c1ccc(CNC(=O)C[C@H]2C(=O)N(CCc3c4c([nH]c3)cccc4)C(=O)N2)cc1)(=O)N
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,N(Cc1ccc([S@+]([OH2+])(=O)N)cc1)C(=O)C[C@H]1C(=O)N(CCc2c3c([nH]c2)cccc3)C(=O)N1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,N1C(=O)N(CCc2c3c(cccc3)[nH]c2)C(=O)[C@@H]1CC(NCc1ccc([S@@+](=O)([OH2+])N)cc1)=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,O=[S@@+]([OH2+])(c1ccc(CNC(C[C@@H]2NC(=O)N(CCc3c[nH]c4c3cccc4)C2=O)=O)cc1)N
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c12nc(CSc3nc4ccccc4c(=O)n3NC(=O)Cc3ccccc3)cc(=O)n1cccc2
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c12c(c(=O)n(NC(Cc3ccccc3)=O)c(SCc3nc4n(cccc4)c(=O)c3)n1)cccc2
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c12ccccc1nc(SCc1cc(=O)n3c(cccc3)n1)n(NC(=O)Cc1ccccc1)c2=O
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c1(=O)n2ccccc2nc(CSc2n(NC(Cc3ccccc3)=O)c(=O)c3c(cccc3)n2)c1
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c1c2nc(CSc3nc4c(c(=O)n3NC(Cc3ccccc3)=O)cccc4)cc(=O)n2ccc1
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,c12nc(C)nn1c1c(cn2)c(=O)n(Cc2cnccc2)cc1
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,c1ncccc1Cn1c(=O)c2c(cc1)n1c(nc2)nc(C)n1
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,n1c(C)nc2ncc3c(n12)ccn(Cc1cnccc1)c3=O
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,c1c(Cn2ccc3n4c(ncc3c2=O)nc(C)n4)cncc1
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,O=c1c2cnc3nc(C)nn3c2ccn1Cc1cccnc1
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,C1N2[C@@H](CCC1)N(C)c1cc(C(=O)N3CCC(C(=O)N)CC3)ccc1C2=O
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,[C@H]12N(C)c3c(ccc(C(=O)N4CCC(C(N)=O)CC4)c3)C(=O)N1CCCC2
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,C(=O)(N)C1CCN(C(c2ccc3c(c2)N(C)[C@@H]2CCCCN2C3=O)=O)CC1
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,N1(C(c2cc3c(cc2)C(=O)N2[C@H](N3C)CCCC2)=O)CCC(C(N)=O)CC1
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,C1CN(C(c2cc3c(cc2)C(=O)N2[C@@H](CCCC2)N3C)=O)CCC1C(=O)N
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,c1cccc(CCN2C(=O)[C@@H](CC(=O)NCc3ccc([S@@+]([OH2+])(N)=O)cc3)NC2=O)c1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,C(c1ccc([S@@+](=O)([OH2+])N)cc1)NC(=O)C[C@H]1NC(=O)N(CCc2ccccc2)C1=O
