original,augmented
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,S(c1c2nc[nH]c2ncn1)CC(c1c(=O)n(C)c(=O)n(C)c1N)=O
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,C(CSc1ncnc2c1nc[nH]2)(c1c(=O)n(C)c(=O)n(C)c1N)=O
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,O=c1n(C)c(N)c(C(CSc2ncnc3[nH]cnc23)=O)c(=O)n1C
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,C1(=O)[C@@H](CC(NCc2ccc([S@+](=O)(N)[OH2+])cc2)=O)NC(=O)N1CCc1c2ccccc2[nH]c1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[OH2+][S@+](c1ccc(CNC(C[C@H]2NC(=O)N(CCc3c[nH]c4c3cccc4)C2=O)=O)cc1)(N)=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,c1(CNC(=O)C[C@@H]2C(=O)N(CCc3c4ccccc4[nH]c3)C(=O)N2)ccc([S@@+]([OH2+])(N)=O)cc1
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,c12nc(CCCC(=O)N3CCC(C(=O)N)CC3)n(Cc3ccccc3)c1nccc2
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,C(CC(=O)N1CCC(C(N)=O)CC1)Cc1nc2cccnc2n1Cc1ccccc1
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,c1nc2c(nc(CCCC(N3CCC(C(=O)N)CC3)=O)n2Cc2ccccc2)cc1
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,n1c2[nH]c3c(cccc3)n2c(SCC(N2CCC(C(=O)N)CC2)=O)n1
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,N1(C(CSc2nnc3n2c2c(cccc2)[nH]3)=O)CCC(C(N)=O)CC1
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,C1N(C(CSc2n3c(nn2)[nH]c2ccccc23)=O)CCC(C(N)=O)C1
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,C(=O)(N1CC[C@@H]2N(C(=O)CN(Cc3ccccc3)C2=O)CC1)CCn1c(C)cc(C)n1
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,c1(C)n(CCC(N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)=O)nc(C)c1
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,Cc1n(CCC(N2CCN3[C@H](C(=O)N(Cc4ccccc4)CC3=O)CC2)=O)nc(C)c1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[nH]1c2c(c(CCN3C(=O)N[C@@H](CC(=O)NCc4ccc([S@@+](=O)([OH2+])N)cc4)C3=O)c1)cccc2
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,N(C(C[C@H]1C(=O)N(CCc2c[nH]c3ccccc23)C(=O)N1)=O)Cc1ccc([S@+]([OH2+])(=O)N)cc1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,c1c2c([nH]cc2CCN2C(=O)[C@H](CC(NCc3ccc([S@+](=O)(N)[OH2+])cc3)=O)NC2=O)ccc1
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c1cccc(CC(Nn2c(=O)c3c(cccc3)nc2SCc2nc3ccccn3c(=O)c2)=O)c1
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c12nc(CSc3n(NC(=O)Cc4ccccc4)c(=O)c4c(cccc4)n3)cc(=O)n1cccc2
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,n1(NC(=O)Cc2ccccc2)c(=O)c2c(cccc2)nc1SCc1nc2n(cccc2)c(=O)c1
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,c1(=O)n(Cc2cnccc2)ccc2c1cnc1nc(C)nn21
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,c1(Cn2ccc3n4c(nc(C)n4)ncc3c2=O)cnccc1
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,C1N(C(=O)c2cc3c(cc2)C(=O)N2CCCC[C@H]2N3C)CCC(C(=O)N)C1
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,c12ccc(C(=O)N3CCC(C(N)=O)CC3)cc1N(C)[C@@H]1CCCCN1C2=O
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,O=C(N1CCC(C(=O)N)CC1)c1ccc2c(c1)N(C)[C@@H]1CCCCN1C2=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,c1ccccc1CCN1C(=O)N[C@H](CC(NCc2ccc([S@+]([OH2+])(=O)N)cc2)=O)C1=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,c1cccc(CCN2C(=O)N[C@H](CC(=O)NCc3ccc([S@@+](=O)([OH2+])N)cc3)C2=O)c1
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,C(c1ccc([S@+]([OH2+])(=O)N)cc1)NC(C[C@@H]1C(=O)N(CCc2ccccc2)C(=O)N1)=O
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1c(C)cc2nc([O-])c(C(NCc3ccncc3)=O)c(=O)n2c1
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1cnccc1CNC(=O)c1c(=O)n2ccc(C)cc2nc1[O-]
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1(C(NCc2ccncc2)=O)c(=O)n2ccc(C)cc2nc1[O-]
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c12ccn(Cc3ncccc3)c(=O)c1cnc1ncnn21
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1nc2ncc3c(=O)n(Cc4ccccn4)ccc3n2n1
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1(Cn2c(=O)c3c(n4c(nc3)ncn4)cc2)ncccc1
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1ccc(C(=O)Nc2c(=O)n3c(nc2)sc2cc(C)ccc32)c(C)c1
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1c2c(n3c(ncc(NC(c4c(C)cccc4)=O)c3=O)s2)ccc1C
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,n12c(=O)c(NC(c3ccccc3C)=O)cnc1sc1cc(C)ccc21
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,C(CN1C(=O)c2cccc([N+](=O)[O-])c2C1=O)C(Nc1c(C(=O)N)cccc1)=O
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,c1cc2c(c([N+](=O)[O-])c1)C(=O)N(CCC(=O)Nc1ccccc1C(N)=O)C2=O
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,C(C(=O)Nc1c(C(N)=O)cccc1)CN1C(=O)c2c(c([N+]([O-])=O)ccc2)C1=O
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,O=C(c1c(NC(=O)c2ccc(N3C(=O)CC[S@@+]3([OH2+])=O)cc2)cccc1)N
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,C1[S@+](=O)([OH2+])N(c2ccc(C(=O)Nc3ccccc3C(=O)N)cc2)C(=O)C1
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,c1cc(C(Nc2ccccc2C(N)=O)=O)ccc1N1C(=O)CC[S@+]1(=O)[OH2+]
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,O=C(NCc1cccnc1)c1c2n(nc1)C[C@@H](NC(=O)c1cnn(C)c1)C2
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,c1(CNC(=O)c2c3n(nc2)C[C@@H](NC(c2cn(C)nc2)=O)C3)cnccc1
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,c1(C(=O)N[C@H]2Cc3c(C(NCc4cnccc4)=O)cnn3C2)cn(C)nc1
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,c1cc(-c2cc(C(=O)[O-])c3c(n2)n[nH]c3-c2ccc(C)cc2)cc(OC)c1OC
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,[nH]1nc2c(c(C([O-])=O)cc(-c3cc(OC)c(OC)cc3)n2)c1-c1ccc(C)cc1
