smiles,selfies
CCOC(=O)c1ccccc1NC(=O)c1cc(-c2ccc3c(c2)OCO3)nc2ccccc12,[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][=N][C][=C][C][=C][C][=C][Ring2][Ring1][Ring1][Ring1][=Branch1]
Cc1cccc(NC(=O)Nc2ccc(-c3cc4ccccc4[nH]3)cc2)c1C,[C][C][=C][C][=C][C][Branch2][Ring1][=C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][C][=C][Ring1][#C][=C][Ring2][Ring1][=Branch2][C]
COc1cc(Br)cc(/C=[NH+]/c2ccc([O-])c(-c3nc4c(C)cccc4o3)c2)c1[O-],[C][O][C][=C][C][Branch1][C][Br][=C][C][Branch2][Ring1][S][/C][=NH1+1][/C][=C][C][=C][Branch1][C][O-1][C][Branch1][P][C][=N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][O][Ring1][#Branch2][=C][Ring1][P][=C][Ring2][Ring1][#Branch2][O-1]
COc1ccc(S(=O)(=O)Nc2ccc(-c3nc4ccccc4s3)c(Cl)c2)cc1Cl,[C][O][C][=C][C][=C][Branch2][Ring2][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][Branch1][C][Cl][=C][Ring1][S][C][=C][Ring2][Ring1][#Branch2][Cl]
Cc1cc2oc3c(c(=O)c2cc1C)[C@@H](c1ccc(C(C)(C)C)cc1)N(C[C@@H]1CCCO1)C3=O,[C][C][=C][C][O][C][=C][Branch1][=N][C][=Branch1][C][=O][C][=Ring1][#Branch1][C][=C][Ring1][O][C][C@@H1][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][N][Branch1][=Branch2][C][C@@H1][C][C][C][O][Ring1][Branch1][C][Ring2][Ring1][O][=O]
CC1=NN(c2nc(-c3ccc(Cl)cc3)cs2)C(=O)/C1=N/Nc1ccc(F)cc1,[C][C][=N][N][Branch2][Ring1][Branch1][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][S][Ring1][N][C][=Branch1][C][=O][/C][Ring2][Ring1][C][=N][/N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
C[C@@H](CN1C(=O)c2cc3occc3n2C[C@]1(C)C(=O)N[C@H]1CC[C@@H](C)CC1)c1ccccc1,[C][C@@H1][Branch2][Ring2][#Branch2][C][N][C][=Branch1][C][=O][C][=C][C][O][C][=C][C][=Ring1][Branch1][N][Ring1][Branch2][C][C@][Ring1][=N][Branch1][C][C][C][=Branch1][C][=O][N][C@H1][C][C][C@@H1][Branch1][C][C][C][C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
CC[C@H](C)N(CCc1nc(-c2ccc3c(c2)OCO3)no1)C(=O)c1ccc(C(F)(F)F)cc1,[C][C][C@H1][Branch1][C][C][N][Branch2][Ring1][O][C][C][C][=N][C][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][=N][O][Ring1][=C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2]
Cc1c(C(=O)OC2CCCCCCC2)[nH]c2c1C(=O)C[C@@H](c1ccccc1)C2,[C][C][=C][Branch1][S][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][Ring1][Branch2][NH1][C][=C][Ring1][S][C][=Branch1][C][=O][C][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=N]
O=c1/c(=C/c2ccc(-c3cccc(Br)c3)o2)sc2nc(-c3ccc(F)cc3)nn12,[O][=C][/C][=Branch2][Ring1][=Branch1][=C][/C][=C][C][=C][Branch1][N][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1][O][Ring1][N][S][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=N][N][Ring2][Ring1][N][Ring1][N]
CSc1ccc(C[NH2+]Cc2c(C(=O)[O-])n(Cc3ccc(F)cc3Cl)c3ccccc23)cc1,[C][S][C][=C][C][=C][Branch2][Ring2][Branch2][C][NH2+1][C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][N][Branch1][=C][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][Cl][C][=C][C][=C][C][=C][Ring2][Ring1][Branch1][Ring1][=Branch1][C][=C][Ring2][Ring1][=C]
Cc1oc2ccc(O)c(CN3CCN(Cc4ccccc4)CC3)c2c1C(=O)Nc1ccc(C(C)C)cc1,[C][C][O][C][=C][C][=C][Branch1][C][O][C][Branch2][Ring1][Branch1][C][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][=C][Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2]
Cc1cccc(Oc2c(C(F)(F)F)oc3c(CN(C)C4CCCCC4)c([O-])ccc3c2=O)c1,[C][C][=C][C][=C][C][Branch2][Ring2][=C][O][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][O][C][=C][Branch1][=C][C][N][Branch1][C][C][C][C][C][C][C][C][Ring1][=Branch1][C][Branch1][C][O-1][=C][C][=C][Ring1][S][C][Ring2][Ring1][Branch2][=O][=C][Ring2][Ring1][S]
COc1cccc(CN2CCC(N(c3ccc(C)cc3)S(=O)(=O)c3ccccc3C)CC2)c1OC,[C][O][C][=C][C][=C][C][Branch2][Ring2][N][C][N][C][C][C][Branch2][Ring1][#C][N][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][#C][O][C]
CCCN(C(=O)CC(C)C)c1nc(-c2ccc(Br)cc2)cs1,[C][C][C][N][Branch1][O][C][=Branch1][C][=O][C][C][Branch1][C][C][C][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][=C][S][Ring1][N]
COCc1nc(-c2ccccc2)nc(N2CCN(C(C)=O)CC2)c1Cc1cc(C)ccc1C,[C][O][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Branch1][S][N][C][C][N][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][Ring1][=Branch2][=C][Ring2][Ring1][Branch1][C][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][C]
O=C(N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)c1cc2ccccc2cc1O,[O][=C][Branch2][Ring1][N][N][/N][=C][/C][=C][C][=C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][O][Ring1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][O]
COC(=O)c1ccc([C@@H]2N=C(c3cccc(OC)c3)C[C@H](c3cc(Br)ccc3[O-])[NH2+]2)cc1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][=Branch1][C@@H1][N][=C][Branch1][=N][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][C][C@H1][Branch1][=N][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O-1][NH2+1][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][N]
CCC[C@H]1CC[C@@H](c2ccc(C(=O)[O-])cc2)CC1,[C][C][C][C@H1][C][C][C@@H1][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C][C][Ring1][#C]
Cc1ccc(S(=O)(=O)c2cn(CC(=O)Nc3ccc(C)c(Cl)c3)c3ccccc3c2=O)cc1C,[C][C][=C][C][=C][Branch2][Ring2][#C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][N][Branch2][Ring1][Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][Branch1][C][Cl][=C][Ring1][Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=Branch1][=O][C][=C][Ring2][Ring1][S][C]
Cc1ccc(C)c(-c2cc(CN(C(C)C)S(=O)(=O)c3ccc(Cl)cc3)no2)c1,[C][C][=C][C][=C][Branch1][C][C][C][Branch2][Ring2][#Branch1][C][=C][C][Branch2][Ring1][N][C][N][Branch1][=Branch1][C][Branch1][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][O][Ring2][Ring1][Ring2][=C][Ring2][Ring1][O]
O=C(Oc1ccc2ccccc2c1/C=N/NC(=O)c1ccccc1[N+](=O)[O-])c1ccc(Cl)cc1,[O][=C][Branch2][Ring2][Ring2][O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][/C][=N][/N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]
COc1cccc([C@H](C)N(c2ccc(Cl)cc2)S(=O)(=O)c2ccc(C)cc2)c1,[C][O][C][=C][C][=C][C][Branch2][Ring2][Branch1][C@H1][Branch1][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Ring2][Ring1][#Branch2]
COc1ccc2cc3n(c2c1)C[C@@](C)(C(=O)NC1CCCCCCC1)N(C1CCCC1)C3=O,[C][O][C][=C][C][=C][C][=C][N][Branch1][#Branch1][C][Ring1][Branch1][=C][Ring1][=Branch2][C][C@@][Branch1][C][C][Branch1][S][C][=Branch1][C][=O][N][C][C][C][C][C][C][C][C][Ring1][Branch2][N][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][Ring2][Ring1][=Branch2][=O]
CCOC(=O)c1ccc(Nc2ncnc3c2cnn3-c2ccc(C)cc2C)cc1,[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][O][N][C][=N][C][=N][C][=C][Ring1][=Branch1][C][=N][N][Ring1][Branch1][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][C][=C][Ring2][Ring1][Branch2]
Fc1ccc(-c2nc(-c3cccc(-c4csc(C5CC5)n4)c3)no2)cc1,[F][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][Branch1][#C][C][=C][S][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][=N][Ring1][Branch2][=C][Ring1][=C][=N][O][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][=Branch2]
Cc1ccc(C(=O)N(Nc2nc3ccccc3s2)C(=O)c2ccc(C)cc2)cc1,[C][C][=C][C][=C][Branch2][Ring2][Branch1][C][=Branch1][C][=O][N][Branch1][#C][N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][N]
Cc1ccc(NC(=O)Nc2ccc3c(c2)C[N@@H+](Cc2ccccc2)C3)cc1Cl,[C][C][=C][C][=C][Branch2][Ring1][P][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N@@H1+1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=N][C][=C][Ring2][Ring1][#Branch2][Cl]
CC(C)(C)c1csc(-c2csc(S(=O)(=O)[N-]Cc3ccc(Br)cc3)c2)n1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][S][C][Branch2][Ring1][#C][C][=C][S][C][Branch2][Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N-1][C][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][=C][Ring1][P][=N][Ring2][Ring1][=Branch1]
Cc1ccsc1[C@@H]1CCCCCN1S(=O)(=O)c1ccc2c(c1)CCCC2,[C][C][C][=C][S][C][=Ring1][Branch1][C@@H1][C][C][C][C][C][N][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1]
CCOc1ccc(Nc2cc(N3CCN(C)CC3)c3noc4c3c2C(=O)c2ccccc2-4)cc1,[C][C][O][C][=C][C][=C][Branch2][Ring2][#Branch2][N][C][C][=C][Branch1][N][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][C][=N][O][C][=C][Ring1][Branch1][C][=Ring1][S][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][C][=C][Ring2][Ring1][#C]
COc1ccc(Nc2nc(N/N=C/c3ccc(OC)c(OC)c3)nc(Nc3ccccc3)n2)cc1,[C][O][C][=C][C][=C][Branch2][Ring2][N][N][C][=N][C][Branch2][Ring1][Ring2][N][/N][=C][/C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring2][Ring1][#Branch2][C][=C][Ring2][Ring1][P]
O=S(=O)(NC[C@H](Nc1ccc(Br)cc1)c1ccccc1)c1ccc(Cl)cc1,[O][=S][=Branch1][C][=O][Branch2][Ring1][#Branch2][N][C][C@H1][Branch1][=N][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]
Cc1ccc(NC(=O)CSc2nc3ccc(NC(=O)Nc4ccc(C)cc4)cc3s2)cc1,[C][C][=C][C][=C][Branch2][Ring2][#Branch2][N][C][=Branch1][C][=O][C][S][C][=N][C][=C][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring1][P][S][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][#C]
CC(C)c1ccc(N2C[C@@H](c3nc(-c4ccc(C(F)(F)F)cc4)no3)CC2=O)cc1,[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][=Branch2][N][C][C@@H1][Branch2][Ring1][=N][C][=N][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][=N][O][Ring1][#C][C][C][Ring2][Ring1][Ring2][=O][C][=C][Ring2][Ring1][O]
