smiles,selfies
Cc1ccc(-n2nc(C(=O)Nc3ccccc3)c3ccccc32)cc1,[C][C][=C][C][=C][Branch2][Ring1][=C][N][N][=C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2]
Cc1ncoc1C(=O)N[C@H](Cc1cnn(C)c1O)C(=O)NCc1ccccc1,[C][C][N][=C][O][C][=Ring1][Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][=N][C][C][C][=N][N][Branch1][C][C][C][=Ring1][=Branch1][O][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
CC(=O)[C@@H]1[C@H](c2cnn(C)c2C)n2ncnc2N[C@@]1(C)O,[C][C][=Branch1][C][=O][C@@H1][C@H1][Branch1][N][C][C][=N][N][Branch1][C][C][C][=Ring1][=Branch1][C][N][N][=C][N][=C][Ring1][Branch1][N][C@@][Ring1][S][Branch1][C][C][O]
Cn1nccc1-c1cc(C(=O)[O-])n[nH]1,[C][N][N][=C][C][=C][Ring1][Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=N][NH1][Ring1][Branch2]
O=C([O-])[C@@H]1CC(=O)N(Cc2ccc(F)cc2)C1,[O][=C][Branch1][C][O-1][C@@H1][C][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][Ring1][=C]
Cc1nn(C)c(C)c1C(=O)NC[C@@H]1CN(Cc2ccccc2)C(=O)CO1,[C][C][=N][N][Branch1][C][C][C][Branch1][C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C@@H1][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][O][Ring1][=C]
COc1ccc(C(=O)CNC(=O)[C@@H]2CC(=O)N(C)C2)cc1,[C][O][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C@@H1][C][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring1][#Branch1][C][=C][Ring2][Ring1][Ring1]
Cc1noc(-c2ccn3c(CNC(=O)c4ccncc4)nnc3c2)n1,[C][C][=N][O][C][Branch2][Ring1][#C][C][C][=C][N][C][Branch1][#C][C][N][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1][=N][N][=C][Ring1][#C][C][=Ring2][Ring1][Ring1][=N][Ring2][Ring1][Branch2]
CCn1cc(NC(=O)c2c(Cl)c(C)nn2C)c(C(N)=O)n1,[C][C][N][C][=C][Branch2][Ring1][Ring2][N][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][Branch1][C][C][=N][N][Ring1][#Branch1][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][=N][Ring2][Ring1][Ring1]
CCN1C(=O)[C@H]2CC3(CCN(C(=O)c4ccnn4C)CC3)CN2C1=O,[C][C][N][C][=Branch1][C][=O][C@H1][C][C][Branch2][Ring1][=Branch1][C][C][N][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=N][N][Ring1][Branch1][C][C][C][Ring1][=C][C][N][Ring2][Ring1][C][C][Ring2][Ring1][=Branch1][=O]
Cn1ncc2c3ccccc3n(CC(=O)N3CCC(C(N)=O)CC3)c2c1=O,[C][N][N][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch2][Ring1][Branch1][C][C][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][C][Ring1][=Branch2][C][=Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][=O]
OC[C@H]1O[C@@H](n2nnc3ccccc32)[C@H](O)[C@@H]1O,[O][C][C@H1][O][C@@H1][Branch1][=C][N][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C@H1][Branch1][C][O][C@@H1][Ring1][#C][O]
COc1ccc(Cl)cc1NC(=O)C[C@H]([NH2+]Cc1cccnc1)C(=O)[O-],[C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][C@H1][Branch1][O][NH2+1][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1]
CCn1ccc([C@H]2/C(=C(\N)[O-])C(C)=Nc3ncnn32)n1,[C][C][N][C][=C][C][Branch2][Ring1][Branch2][C@H1][/C][=Branch1][=Branch1][=C][Branch1][C][\N][O-1][C][Branch1][C][C][=N][C][=N][C][=N][N][Ring1][Branch1][Ring1][=N][=N][Ring2][Ring1][C]
Cc1cc(C(=O)N[C@H](C)Cc2cn(C)nc2C)n2ncnc2n1,[C][C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][C][C][C][C][=C][N][Branch1][C][C][N][=C][Ring1][=Branch1][C][N][N][=C][N][=C][Ring1][Branch1][N][=Ring2][Ring1][=Branch1]
O=C(Nc1ccccc1)c1ccc(-c2nccc(Oc3ccccc3)n2)cc1,[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][Ring2][C][=N][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][=N][C][=C][Ring2][Ring1][Ring1]
CNC(=O)[C@@H]1c2nnc(C)n2CCN1C(=O)c1cccs1,[C][N][C][=Branch1][C][=O][C@@H1][C][=N][N][=C][Branch1][C][C][N][Ring1][=Branch1][C][C][N][Ring1][#Branch2][C][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1]
O=C(Nc1nc(-c2ccccc2)cs1)c1sc2ccccc2c1Cl,[O][=C][Branch2][Ring1][Ring1][N][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][S][Ring1][O][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][Cl]
Cc1c(-c2ccnc3cc(C(=O)N4CCc5ccccc54)nn23)cnn1C,[C][C][=C][Branch2][Ring2][Ring1][C][=C][C][=N][C][=C][C][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][=N][N][Ring2][Ring1][Ring2][Ring1][S][C][=N][N][Ring2][Ring1][=Branch2][C]
O=C(Cn1ccc2c(cnc3ccnn32)c1=O)Nc1ccncc1,[O][=C][Branch2][Ring1][Branch2][C][N][C][=C][C][=C][Branch1][N][C][=N][C][=C][C][=N][N][Ring1][Branch1][Ring1][=Branch2][C][Ring1][=N][=O][N][C][=C][C][=N][C][=C][Ring1][=Branch1]
CCOC(=O)N1CCN(C(=O)c2c(N)no[n+]2[O-])CC1,[C][C][O][C][=Branch1][C][=O][N][C][C][N][Branch1][S][C][=Branch1][C][=O][C][C][Branch1][C][N][=N][O][N+1][=Ring1][=Branch1][O-1][C][C][Ring1][#C]
COc1ccccc1-c1onc(C)c1C(=O)NCc1cccc(F)c1F,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][N][=C][Branch1][C][C][C][=Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][F]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,[N][S@+1][=Branch1][C][=O][Branch1][C][OH2+1][C][=C][C][=C][Branch2][Ring1][#C][C][N][C][=Branch1][C][=O][C][C@H1][N][C][=Branch1][C][=O][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C][=O][C][=C][Ring2][Ring1][#Branch2]
CC[C@@H](CO)NC(=O)c1c([O-])nc2cc(C)ccn2c1=O,[C][C][C@@H1][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][=C][Branch1][C][O-1][N][=C][C][=C][Branch1][C][C][C][=C][N][Ring1][#Branch1][C][Ring1][N][=O]
CCn1cc(NC(=O)c2ccnn2C(F)F)c(C(N)=O)n1,[C][C][N][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][C][=N][N][Ring1][Branch1][C][Branch1][C][F][F][C][Branch1][=Branch1][C][Branch1][C][N][=O][=N][Ring2][Ring1][Ring1]
O=C([O-])CN1C(=O)[C@@H]2[C@H](C1=O)[C@H]1C=C[C@@H]2C1,[O][=C][Branch1][C][O-1][C][N][C][=Branch1][C][=O][C@@H1][C@H1][Branch1][Branch1][C][Ring1][=Branch1][=O][C@H1][C][=C][C@@H1][Ring1][Branch2][C][Ring1][Branch1]
COc1ccc(-c2nc3cccnc3n2[C@@H]2CCN(C(=O)C3CCCC3)C2)cc1,[C][O][C][=C][C][=C][Branch2][Ring2][C][C][=N][C][=C][C][=C][N][=C][Ring1][=Branch1][N][Ring1][=Branch2][C@@H1][C][C][N][Branch1][N][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][C][Ring1][N][C][=C][Ring2][Ring1][O]
COc1ccccc1CCC(=O)NCCN1CC[C@@H](N[S@@+](C)(=O)[OH2+])C1=O,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][C][C][N][C][C][C@@H1][Branch1][#Branch2][N][S@@+1][Branch1][C][C][=Branch1][C][=O][OH2+1][C][Ring1][#Branch2][=O]
O=C([O-])[C@H]1CC(=O)N(Cc2ccccc2F)C1,[O][=C][Branch1][C][O-1][C@H1][C][C][=Branch1][C][=O][N][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][Ring1][=C]
Cc1c([C@H]2Cc3c(c(=O)n(C)c(=O)n3C)[C@@H](O)O2)c(=O)n(C)c(=O)n1C,[C][C][=C][Branch2][Ring1][=C][C@H1][C][C][=C][Branch1][P][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Ring1][=Branch2][C][C@@H1][Branch1][C][O][O][Ring1][#C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Ring2][Ring1][Branch2][C]
