epoch,valid_sequences,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,kl_beta
1,16,5.7856250000000005,8.273,7.489,0.11268185079097748,122.69912719726562,0.1
2,16,6.678812499999999,8.151,7.5336,0.5301061272621155,19.389551162719727,0.2
3,16,6.7780000000000005,7.878,7.4798,0.6451891660690308,8.221220016479492,0.2
4,16,6.8049375,9.002,7.948,0.4980586767196655,19.643756866455078,0.4
5,16,5.6818125,7.833,7.5924,0.42078346014022827,6.3505859375,0.2
6,16,6.781000000000001,8.012,7.592999999999999,2.5750880241394043,11.252861022949219,0.2
7,16,5.8728125,8.137,7.6812,0.9103899598121643,18.1148624420166,0.4
8,16,6.5110625,7.954,7.4879999999999995,12.662907600402832,8.957290649414062,0.4
9,16,6.6238125,7.983,7.626600000000001,0.3688516616821289,17.294340133666992,0.8
10,16,4.757937500000001,8.106,7.8961999999999986,117.24042510986328,22.647064208984375,1.0
11,16,6.9986250000000005,8.04,7.685,1.22733736038208,18.44846534729004,1.0
12,16,6.597312499999999,8.127,7.7044,35.580963134765625,7.631420135498047,1.0
13,16,6.990874999999999,8.315,7.970599999999999,0.6281994581222534,20.95928955078125,1.0
14,16,5.7738125,8.476,7.6408000000000005,24.38229751586914,5.331820964813232,0.5
15,16,6.810124999999999,7.695,7.4184,0.33321598172187805,30.965181350708008,1.0
16,16,6.65475,8.011,7.5518,7.86548376083374,5.181693077087402,0.5
17,16,5.8412500000000005,8.207,7.865600000000001,0.10337728261947632,7.138589859008789,0.5
18,16,6.9811875,8.681,8.1602,1.0114614963531494,11.505274772644043,0.5
19,16,7.1639375,8.564,8.0352,1.7288241386413574,13.229635238647461,0.5
20,16,6.4500625,8.229,7.5376,0.4519055485725403,4.668285846710205,0.25
21,16,5.440125,7.638,7.293200000000001,1.4695112705230713,31.02376937866211,0.5
22,16,6.7539375,8.066,7.506,3.6901798248291016,10.438584327697754,0.5
23,16,6.6955625,8.0,7.5762,0.6289392709732056,2.4715733528137207,0.25
24,16,5.738125,7.927,7.4694,0.14138749241828918,3.7681946754455566,0.125
25,16,5.5516875,7.867,7.372200000000001,0.24336302280426025,2.8773062229156494,0.0625
26,16,6.9988125000000005,8.351,8.027800000000001,1.7298871278762817,3.4921822547912598,0.03125
27,16,6.8340000000000005,8.051,7.4796,0.6683121919631958,7.563669204711914,0.03125
28,16,6.5215625,8.115,7.3456,0.5184119939804077,5.327720642089844,0.015625
29,16,5.96125,7.962,7.578,0.2420395016670227,25.750244140625,0.03125
30,16,5.8951875000000005,7.911,7.8027999999999995,0.16156068444252014,3.6755566596984863,0.015625
31,16,5.6416875,8.028,7.166600000000001,0.18673738837242126,5.9576616287231445,0.0078125
32,16,6.7941875000000005,7.931,7.6328000000000005,2.023726224899292,6.088144302368164,0.00390625
33,16,6.9799375,8.328,7.6868,1.6044212579727173,2.83784556388855,0.001953125
34,16,6.8556875,8.097,7.719799999999999,11.702939987182617,3.8774900436401367,0.0009765625
35,16,6.8985625,8.13,7.7490000000000006,72.01683044433594,3.259471893310547,0.00048828125
36,16,4.6744375,8.392,7.67,0.4182180166244507,6.09904670715332,0.000244140625
37,16,6.7036875,8.133,7.7062,0.5926862955093384,1.7217469215393066,0.0001220703125
38,16,6.727125,7.747,7.544199999999999,0.3906300663948059,4.870110988616943,0.0001
39,16,5.959,8.218,7.722800000000001,0.17731931805610657,1.9311022758483887,0.0001
40,16,6.047375000000001,7.924,7.815600000000001,0.31147247552871704,5.247959136962891,0.0001
41,16,5.66375,7.621,7.3544,0.20657330751419067,8.309944152832031,0.0001
42,16,4.7406250000000005,7.969,7.598999999999999,0.23988200724124908,3.3007144927978516,0.0001
43,16,6.5603125,7.998,7.279999999999999,33.11457824707031,3.745661735534668,0.0001
44,16,6.9645625,7.664,7.5438,2.502824068069458,4.209134101867676,0.0001
45,16,5.427125,7.444,7.164999999999999,0.1632402241230011,8.079988479614258,0.0001
46,16,6.7125,7.853,7.419999999999999,1.5088412761688232,3.748054027557373,0.0001
47,16,5.706625000000001,7.406,7.273000000000001,0.04786398261785507,2.382814884185791,0.0001
48,16,6.7083125,7.823,7.3718,0.2968316376209259,2.16529846191406,0.0002
49,16,5.6446875,8.15,7.627800000000001,0.20134299993515015,5.018745422363281,0.0001
50,16,4.69275,7.854,7.5556,0.7343866229057312,3.216264247894287,0.0001
