epoch,valid_sequences,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,adv_mean,kl_beta
1,4,5.249750000000001,7.7,5.249750000000001,0.548821210861206,0.768809974193573,-2.9802322387695312e-08,0.1
2,4,6.703,7.531,6.703,2.121195077896118,0.8438934683799744,-1.9371509552001953e-07,0.1
3,4,6.92675,7.562,6.92675,1.4946802854537964,1.1272584199905396,3.5762786865234375e-07,0.1
4,4,6.415,7.008,6.415,254.58885192871094,1.2916048765182495,0.0,0.1
5,4,6.490500000000001,6.661,6.4905,1.6861522197723389,1.0677917003631592,2.9802322387695312e-08,0.1
6,4,7.218249999999999,8.141,7.21825,8.651504516601562,1.1552927494049072,3.3527612686157227e-07,0.1
7,4,7.2589999999999995,7.921,7.2589999999999995,0.7120361328125,0.9890169501304626,3.129243850708008e-07,0.1
8,4,6.6884999999999994,8.017,6.6884999999999994,0.437870055437088,0.9349823594093323,-3.7997961044311523e-07,0.1
9,4,6.409750000000001,7.44,6.409750000000001,2.5293521881103516,0.9236823916435242,8.940696716308594e-08,0.1
10,4,6.472250000000001,7.121,6.472250000000001,0.3661327362060547,0.9430940747261047,0.0,0.1
11,4,6.66375,7.14,6.66375,0.7576038241386414,0.7159977555274963,5.960464477539062e-07,0.1
12,4,5.72925,7.983,5.72925,0.8724648952484131,0.8861502408981323,1.4901161193847656e-08,0.1
13,4,6.678,7.049,6.678000000000001,1.1383073329925537,0.6667596101760864,-7.450580596923828e-09,0.1
14,4,6.011,7.382,6.010999999999999,3.8230466842651367,0.9448524713516235,-1.4901161193847656e-07,0.1
15,4,7.564,8.341,7.564,4.379882335662842,0.8181155920028687,-3.725290298461914e-07,0.1
16,4,7.3765,8.085,7.3765,12.475648880004883,0.9002427458763123,-3.8743019104003906e-07,0.1
