iteration,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
1,6.566750000000001,8.385,7.08,0.6316177845001221,0.9405607581138611,21.862457275390625
2,7.144142857142858,8.217,7.423400000000001,122.92279815673828,0.796574592590332,294.04669189453125
3,6.916625,7.71,7.368600000000001,0.354828804731369,0.8190429210662842,154.41416931152344
4,6.893571428571428,7.474,7.202000000000001,0.3821908235549927,0.954507052898407,14.104150772094727
5,7.342125,7.738,7.5922,0.91427081823349,0.9458199143409729,22.78866958618164
6,6.877625,7.954,7.376400000000001,1.1929911375045776,0.9631027579307556,4.127780914306641
7,6.586625,7.43,7.095999999999999,0.5972609519958496,0.7939300537109375,1.7305244207382202
8,7.0600000000000005,7.727,7.4434,0.9954116940498352,0.8479200005531311,53.75495147705078
9,6.99175,8.078,7.5733999999999995,27.240320205688477,0.9239662885665894,19.686100006103516
10,6.934125,7.798,7.4988,2.491617202758789,0.8891529440879822,6.997779846191406
