iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
1,1,6.66375,7.376,6.9848,2.7259740829467773,11.59704875946045,3.7215559482574463
1,2,6.7185,7.601,7.1664,4.796290397644043,10.798460960388184,6.816600799560547
2,1,6.4835,7.798,6.8738,0.7091284990310669,12.519899368286133,10.599420547485352
2,2,7.00225,7.885,7.4358,0.7303499579429626,6.726541042327881,2.431152820587158
3,1,6.536250000000001,7.386,6.974200000000001,2.943397045135498,17.933780670166016,7.375984191894531
3,2,7.00175,7.801,7.501600000000001,2.4121487140655518,2.5597150325775146,4.866125106811523
4,1,6.657375,8.357,7.1696,12.652055740356445,7.932633399963379,22.010665893554688
4,2,6.915875,7.458,7.2318,0.8269942402839661,167.3790740966797,4.9121246337890625
5,1,6.77925,7.84,7.3042,1.292057991027832,8.974847793579102,8.325383186340332
5,2,6.918125,7.44,7.239400000000001,0.5178263187408447,15.55439281463623,2.005192279815674
6,1,7.251,8.871,7.7620000000000005,1.0446076393127441,10.592059135437012,2.3291122913360596
6,2,7.078857142857143,7.802,7.4106,0.5981456637382507,4.83521842956543,2.8226046562194824
7,1,6.896375,8.033,7.566599999999999,0.5628139972686768,7.344684600830078,1.7435919046401978
7,2,7.563375000000001,8.858,8.215800000000002,0.6863226890563965,61.937904357910156,6.050656795501709
8,1,6.83775,7.945,7.231999999999999,3.8813364505767822,7.116352081298828,8.410984992980957
8,2,7.178,8.061,7.4214,1.918133020401001,17.767181396484375,10.394362449645996
9,1,6.967625,7.841,7.289199999999999,4.810333728790283,10.522825241088867,7.909394264221191
9,2,6.58625,7.529,7.103199999999999,0.4078463613986969,635.7803955078125,4.404390335083008
10,1,6.83775,8.379,7.233200000000001,0.3995009660720825,24.257535934448242,2.5513973236083984
10,2,6.53725,7.402,6.8298000000000005,1.062529444694519,11.010083198547363,2.1282997131347656
11,1,6.620625,7.827,7.0840000000000005,0.8827663064002991,14.611642837524414,2.7056877613067627
11,2,6.740874999999999,7.571,7.0280000000000005,1.5054820775985718,16.391584396362305,3.125361919403076
12,1,7.107125,7.963,7.5268,9.235366821289062,7.092296600341797,8.964797973632812
12,2,6.87925,7.455,7.057599999999999,1.6958999633789062,102.53235626220703,6.703858375549316
13,1,7.3759999999999994,8.126,7.6768,0.47937172651290894,13.573092460632324,8.035876274108887
13,2,7.033857142857143,8.334,7.4512,4.476196765899658,26.30161476135254,10.872345924377441
14,1,7.204375000000001,8.186,7.5268,5.1604437828063965,9.556538581848145,15.164341926574707
14,2,6.956625,7.835,7.267799999999999,0.6874033808708191,29.67711639404297,2.5231380462646484
15,1,6.223,7.262,6.6018,1.1967442035675049,19.031810760498047,10.921157836914062
15,2,6.781000000000001,7.282,7.001399999999999,14.315733909606934,12.410078048706055,13.702871322631836
16,1,7.788285714285713,8.525,8.0354,3.6307880878448486,12.57055950164795,5.281851768493652
16,2,6.6838750000000005,7.718,7.445399999999999,0.21252962946891785,97.35855865478516,3.212383508682251
17,1,6.7415,7.479,7.1146,3.071870803833008,3.7921693325042725,4.982500076293945
17,2,6.4455,8.417,6.9552,14.85319709777832,18.092609405517578,19.828474044799805
18,1,6.436625,8.045,7.1530000000000005,0.3521691858768463,5.252044677734375,2.5837676525115967
18,2,6.8222499999999995,7.162,7.0527999999999995,82.76937866210938,9.384025573730469,38.707298278808594
19,1,6.388142857142858,7.075,6.6788,1.3287761211395264,5.707360744476318,11.271646499633789
19,2,6.819875,7.841,7.2112,0.4501384496688843,16.295948028564453,5.971135139465332
20,1,6.530625,8.141,7.169,2.274104118347168,16.890377044677734,7.514579772949219
