selfies,smiles
[C][S][C][=C][C][=C][Branch2][Ring2][O][C][=N][O][C][Branch2][Ring2][C][C][S][C][=C][C][=Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2][=N][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][=N],C1SC2=CC=C(C=NOC1C=3SC=CC=3S(=O)(=O)N(C)C4=CC=C(C)C(C)=C4N)C=C2
[C][C][=C][C][=C][Branch2][Ring2][=Branch1][N][C][=N][C][=C][C][=Branch1][C][=O][N][=C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][=O][C][=C][Ring1][=Branch2][C][=C][Ring1][S][N][=C][Ring2][Ring1][=Branch1][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][=C],C1C=CC=C1N2C=NC=C3C(=O)N=C(C4=CC=C(C(C)=O)C=C4)C=C3N=C2
[O][=C][Branch1][S][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][N][C][=N][N][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][Ring1][N],O=C(NC1=CC=C(Cl)C(Cl)=C1)NC2=NN=C(C3=CC=C(C)C=C3)S2
[C][C][=C][C][=C][Branch2][Ring2][#Branch2][C][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch1][#C][C][NH2+1][C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][=N][C],CC=C1C=C(CN2C(C(=O)[O-1])=C(C[NH2+1]CC3=CC=CC(F)=C3)C4=CC=C(C)C=C42)C=C1C
[C][C][=C][C][=C][Branch2][Ring2][C][C][=N][O][N][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C][O][C][=C][C][Branch1][C][C][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][C][=Ring1][O][N][C][=C][Ring2][Ring1][Branch2][C],CC=CC1=C(C2=NON=C2NC(=O)C=3OC4=CC(C)=C(Cl)C=C4C=3NC)C1C
[C][C@@][Branch1][S][C][=Branch1][C][=O][N][C][C][C][C][C][C][C][C][Ring1][Branch2][C][N][C][=Branch1][O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][C][=C][C][=C][S][Ring1][#C],C[C@@](C(=O)NC1CCCCCCC1)CN2C(=CC3=CC=CC=C32)CC=CC=CS
[C][C][Branch1][C][C][C@@H1][C][C][C@@H1][Branch1][C][C][C][C@@H1][Ring1][#Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][Cl],CC(C)[C@@H1]1CC[C@@H1](C)C[C@@H1]1OC(=O)C2=CC=C([N+1](=O)[O-1])C=C2Cl
[C][C][=C][C][=C][Branch2][Ring2][Branch2][C][N][C][O][C][=C][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][O][C][=Ring1][#Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][O],C1C=CC=C1CNCOC=C(C2=CC=CO2)OCS(=O)(=O)C3=CC=C(C)C=C3C=C
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][Branch2][Ring2][#Branch1][N][C][=Branch1][C][=O][C][N][N][=N][C][=Branch1][C][=O][C@@][Branch1][Ring1][C][#N][C][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][Ring1][#Branch2][C][=C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][P][C],CCOC(=O)C=CC=CC(NC(=O)C1NN=NC(=O)[C@@](C#N)C2=NC3=CC=C(C)C=C3S2C=C1)C=CC
[O][=S][=Branch1][C][=O][Branch2][Ring1][N][N][C][=C][C][=C][Branch1][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][Branch1][C][Cl][=C][Ring1][S][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],O=S(=O)(NC1=CC=C(C2=NC3=CC=CC=C3S2)C(Cl)=C1)C4=CC=C(Cl)C=C4
[C][C@@][Branch1][P][C][=Branch1][C][=O][N][C@@H1][C][C][C@@H1][Branch1][C][C][C][C][Ring1][#Branch1][C][N][C][=Branch1][O][=C][C][O][C][=C][C][=Ring1][Branch1][Ring1][Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][#Branch1][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],C[C@@]1(C(=O)N[C@@H1]2CC[C@@H1](C)CC2)CN3C(=CC=4OC=CC=43)C(=O)N1CC5=CC=C(Cl)C=C5
[C][C][O][C][=C][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch2][Ring1][Branch1][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=N][O][Ring1][N][=C][C][=Ring1][P][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2],CCOC=C(C)CC(=O)C(C1=NC(C2=CC=CC(F)=C2)=NO1)=CCNC(=O)C3=CC4=CC=CC=C4O3
[C][S][C][=C][C][=C][Branch2][Ring2][Branch2][C][=N][O][C][Branch2][Ring1][=N][C@@H1][C][C][C][N][Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2][=C][Ring2][Ring1][Ring1][=C][S][Ring2][Ring1][=Branch2],CSC=CC1=C(C=NOC([C@@H1]2CCCN2S(=O)(=O)C3=CC=C(C)C(C)=C3)=C)CS1
[O][=S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][C][C][C@H1][Branch2][Ring1][Branch1][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=N][O][Ring1][N][C][Ring2][Ring1][C],O=S(=O)(C1=CC=C(Cl)C=C1)N2CCC[C@H1](C3=NC(C4=CC=CC(F)=C4)=NO3)C2
[C][O][C][=C][C][=C][C][Branch2][Ring2][#Branch1][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][S][C][=Branch1][C][=O][O][C][=Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][P][C][=C][C][=C][Branch1][C][C][C][=N][Ring1][#Branch1][=C][Ring2][Ring1][=C],COC=CC=CC(C=C1C(C2=CC=CC=C2)=C3SC(=O)OC3C(=O)N1C4=CC=C(C)C)=N4
