selfies,smiles
[O][=C][O][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][C][=C][Ring1][N][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],O=C1OC2=C(Cl)C=C(Cl)C=C2C=C1C3=CC(Cl)=C(Cl)C=C3Cl
[C][C][=C][C][=C][Branch2][Ring2][=N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][=Branch1][N][C][=C][C][Branch1][C][C][=NH1+1][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=N][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][Branch1][C][C][=C][Ring2][Ring1][#C],C1C=CC=C(S(=O)(=O)NC2=CC=C(NC3=CC(C)=[NH1+1]C(N4CCCC4)=N3)C=C2CC)C1
[C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][O][C][=C][C][=C][Branch2][Ring1][Branch1][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][C],CCCCCCCCOC(=O)C=C(C)OC1=CC=C([N-1]S(=O)(=O)C2=CC=C(CC)C=C2)C=C1
[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch2][Ring2][C][/C][=N][/N][C][=N][C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][#Branch1][=N][C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][#Branch1][=NH1+1][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][=N],O=[N+1]([O-1])C1=CC=C(/C=N/NC2=NC(N3CCCCCC3)=NC(N4CCCCCC4)=[NH1+1]2)C=C1
[C][C][=C][C][Branch2][Ring2][Ring2][N][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][C][C][C][Ring1][=N][=C][Ring1][P][=C][C][=C][Ring2][Ring1][O][Cl],CC1=CC(NC(=O)NC2=CC=C3N=C(N4CCCCC4)C=C(C)C3=C2CC)=C1Cl
[C][C][=C][C][Branch1][C][C][=C][C][Branch2][Ring2][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][P][C][=C][N][=C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][O][Ring1][#Branch2][S][Ring1][#C][=C][Ring2][Ring1][#Branch2],C1C=CC(C)=CC1S(=O)(=O)NC2=CC=C(C3=CN=C(C4CCCC4)O3)S2=C
[C][C][C][C][N][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][N][Ring1][#Branch2][C][C@@][Ring1][#C][Branch1][C][C][C][=Branch1][C][=O][N][C@H1][C][C][C@H1][Branch1][C][C][C][C][Ring1][#Branch1],CCCCN(CCCC)C(=O)NC1=CC=C(C2=CC=CO2)N1C[C@@](C)C(=O)N[C@H1]3CC[C@H1](C)CC3
[C][C][=C][C][=C][C][=Branch1][C][=O][C][Branch2][Ring1][Branch1][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=N][O][Ring1][N][=C][N][Branch2][Ring1][Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][Ring2][Ring2][Ring2][C],C1C=CC=CC(=O)C(C2=NC(C3=CC=CC(F)=C3)=NO2)=CN(CC(=O)NC4=CC=C(C(C)C)C=C4)C1C
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][N-1][C][=C][C][=C][Branch1][#Branch2][NH1+1][C][C][C][C][C][C][Ring1][#Branch1][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Ring1][S][C][=C][Ring2][Ring1][#Branch2],CC(C)(C)C1=CC=C(S(=O)(=O)[N-1]C2=CC=C([NH1+1]3CCCCCC3)C(C(=O)[O-1])=C2)C=C1
[C][C][=C][C][=C][Branch2][Ring2][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=N][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][=C][Ring1][#C][C][Branch1][C][F][=C][Ring2][Ring1][#Branch2],CC1=CC=CS(=O)(=O)NC2=CC=C(C3=CC4=CC=CC=C4S3)C=C2C(F)=C1
[C][C][=C][C][=C][Branch2][Ring2][Branch1][C][=N][O][C][Branch2][Ring1][#Branch2][C][=C][C][Branch1][P][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][F][=C][C][=C][Ring1][S][=N][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][N],C12C=CC3=C(C=NOC1(C=CC(S(=O)(=O)NC4=CC=CC=C4)F)N3)C=C2
[C][C][=C][C][=C][NH1][C][Branch2][Ring1][=C][S][C][C][=C][C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][=C][Ring1][P][=NH1+1][C][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][O],C1C=CC2=C[NH1]C(S3CC=CC(NC(=O)NC4=CC=C(Br)C=C4)=C3[NH1+1])C2=C1
[C][C][=C][C][=C][Branch2][Ring2][=N][S][=Branch1][C][=O][=Branch1][C][=O][C][N][=N][N][C][=Ring1][Branch1][N][=C][Branch1][S][N][C][=C][C][=C][Branch1][C][C][C][Branch1][C][Cl][=C][Ring1][Branch2][C][S][C][=C][C][=Ring1][Branch1][Ring2][Ring1][C][C][=C][Ring2][Ring1][=C],C1C=CC=C(S(=O)(=O)C=2N=NN3C=2N=C(NC4=CC=C(C)C(Cl)=C4)C=5SC=CC=53)C1
[O-1][C][=C][C][Branch1][C][Br][=C][Branch1][C][O-1][C][Branch2][Ring1][S][/C][=N][/C][=C][C][=C][Branch1][C][O][C][Branch1][P][C][=N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][O][Ring1][#Branch2][=C][Ring1][P][=C][Ring2][Ring1][O],[O-1]C1=CC(Br)=C([O-1])C(/C=N/C2=CC=C(O)C(C3=NC4=C(C)C=CC=C4O3)=C2)=C1
[C][C][C@@H1][Branch1][C][C][C@@H1][Branch1][S][N][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][=N][O][Ring1][N],CC[C@@H1](C)[C@@H1](NC(=O)CCC1=CC=CC=C1)C2=NC(C3=CC=C(Br)C=C3)=NO2
[C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][=C][Ring1][#C],CN(C1=CC=CC=C1)S(=O)(=O)C2=CC=C(C3=NC4=CC=CC=C4S3)C=C2
[C][C][C][=Branch1][C][=O][N][Branch2][Ring1][O][C][C][=C][S][C][Branch1][P][C][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=N][Ring1][#C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch1][C][Branch1][C][C][C][C][=C][Ring1][#Branch2],CCC(=O)N(CC1=CSC(COC2=CC=C(C)C=C2C=N1)S=O)C=O
[C][C][=C][C][C][Branch1][C][C][=C][Branch1][=N][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][#Branch1][O][C][=Ring1][#C][C][Branch2][Ring1][Ring2][S][=Branch1][C][=O][=Branch1][C][=O][N][C@H1][Branch1][C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][Ring2][Ring1][#C],CC1=C2CC(C)=C(C(=O)NCCCCC)OC2C(S(=O)(=O)N[C@H1](C)C3=CC=CCl)C=C3C1
[C][C][C][C][C][C][=C][Branch1][C][C][NH1][C][=C][Branch1][C][C][C][=C][Branch1][#Branch1][C][NH1+1][Branch1][C][C][C][C][=C][Ring1][#Branch2][O][C][Ring1][S][=O][C][Ring2][Ring1][Ring2][=O],CCCCCC=C(C)[NH1]C=C(C)C=C(C[NH1+1](C)C)C=COC=O
