selfies,smiles
[C][O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][C][C][=C][Ring1][Branch2][N][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][=N][C][=C][C][=C][C][=C][Ring2][Ring1][Ring1][Ring1][=Branch1],COC1=CC(Cl)=C(C)C=C1NC(C2=CC=C([N+1](=O)[O-1])C=C2)=NC3=CC=CC=C3
[C][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=N][C][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][Branch1][Branch2][S][C][C][Branch1][C][C][C][O][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][O],C1C=C2C=C1C=NC(S(=O)(=O)C3=CC=C(Cl)C=C3)=C(SCC(C)C)O2
[C][O][C][=C][C][Branch2][Ring2][Ring2][C][=N][O][C][Branch2][Ring1][=Branch2][C][=C][C][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][=N][NH1][Ring1][=C][=N][Ring2][Ring1][Ring1][=C][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][#Branch2],COC=C1C(C2=NOC(C3=CC(C4=CC=CC([N+1](=O)[O-1])=C4)=N[NH1]3)=N2)=CC(OC)=C1
[C][C][=C][C][Branch2][Ring2][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=C][C][=C][Ring2][Ring1][C][=N][C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][=Branch1][=NH1+1][Ring2][Ring1][P],CC=CC(C(=O)NC=C1C=CC(NC(=O)NC2=CC=C(F)C=C2)=CC=C1)=NC(NC3CCCCC3)=[NH1+1]
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2],CCCCCCCCCCCCCCCCCC(=O)NC1=CC=C(C(=O)[O-1])C=C1
[C][C][=C][C][=C][Branch2][Ring2][#Branch1][C][S][C][=N][C][=C][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][#Branch1][N][=N][N][Ring1][#C][C][=C][C][=C][Branch1][C][C][C][=C][Ring2][Ring1][=C],C1C=CC=C1CSC=NC2=C(S(=O)(=O)N3CCCCCC3)N=NN2C=CC=C(C)C=C
[C][C][C][C][N][=C][Branch2][Ring2][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=Ring1][S][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][S][Ring2][Ring1][O],CC=1CC2N=C(NC(=O)C3=CC=CC=C3SC=1S(=O)(=O)NC4=CC=COC)C=C4S2
[O][=C][Branch2][Ring1][N][N][C][=C][C][=C][Branch1][C][O-1][C][Branch1][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2][=C][Ring1][S][C][S][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][C][=C][Ring1][=Branch2][C][=Ring1][N][Cl],O=C(NC1=CC=C([O-1])C(C2=NC3=CC=CC=C3O2)=C1)C=4SC5=CC([N+1](=O)[O-1])=CC=C5C=4Cl
[C][C][=C][C][=C][Branch2][Ring2][=N][N][Branch2][Ring1][Ring1][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=C][C][Branch1][C][C][=C][C][Branch1][C][C][=C][Ring1][Branch2][NH1][Ring2][Ring1][#Branch1][=O][C][=C][Ring2][Ring1][=N][C],CC=CC1=C(N(CC(=O)NC2=CC=CC(O)=C2C3)CC(C)=CC(C)=C3[NH1]1)NC
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring1][C][=N][O][C][Branch2][Ring1][Branch2][C@H1][C][C][=Branch1][C][=O][N][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Ring1][=N][=N][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2],CC(C)(C)C1=CC=C(C2=NOC([C@H1]3CC(=O)N(C4=CC=C(Cl)C=C4)C3)=N2)C=C1
