selfies,smiles
[C][C][C][C][C][C][S][C][=N][N][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][O][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring2][Ring1][=Branch1],CCCCCCSC1=NN=CC(=N1)O[C@@H1](C2=CC=CC=C2)NC(=O)C3=CC=CC=C3S
[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][=C][C@@H1][C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][=N][NH1][C][=Ring1][=C][C][=Branch1][C][=O][N][Ring1][S][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][=C][Ring2][Ring2][C],CC=CC(C)=C([C@@H1]C=1C(C2=CC=C(C(C)C)C=C2)=N[NH1]C=1C=O)NCC3=CC=CC=N3
[C][C][=C][C][=C][Branch2][Ring2][N][C][=C][C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][N][C][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][=N][O][Ring1][N][=C][C][=C][Ring2][Ring1][Branch1][C][=N][Ring2][Ring1][#Branch2][C],CC=C1C=CC2=CC(C(=O)NC3=CC(C4=CC=C(Br)C=C4)=NO3)=CC=C2C=N1
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][Branch1][C@H1][N][=C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][C@@H1][Branch1][=N][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O-1][NH2+1][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][O],COC(=O)C1=CC=C([C@H1]2N=C(C3=CC=C(Br)C=C3)C[C@@H1](C4=CC(Br)=CC=C4[O-1])[NH2+1]2)C=C1
[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch2][Ring1][O][N][/N][=C][/C][=C][C][=C][Branch1][#C][C][=C][C][=C][Branch1][C][I][C][Branch1][C][Cl][=C][Ring1][Branch2][O][Ring1][=N][C][=C][Ring2][Ring1][=Branch1],O=[N+1]([O-1])C1=CC=C(N/N=C/C2=CC=C(C3=CC=C(I)C(Cl)=C3)O2)C=C1
[C][C][C][=C][C][=C][Branch2][Ring2][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][O][C][=C][Branch1][#Branch1][C][Ring1][Branch1][=C][Ring1][=Branch2][C][C@@H1][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring1][#C][C][=C][Ring2][Ring1][O],CCC1=CC=C(S(=O)(=O)NC2=CC3=C4OC=C(C4=C2)C[C@@H1](C(C)(C)C)CC3)C=C1
[C][C][=C][C][=C][Branch2][Ring2][=N][C][=N][O][C][Branch2][Ring2][C][C@@H1][C][C][C][N][Branch2][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][Ring2][Ring1][C][=N][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][=N],CC1=CC=C(C2=NOC([C@@H1]3CCCN(S(=O)(=O)C4=CC=C(C(C)C)C=C4)C3)=N2)C=C1
[O][=C][Branch1][S][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][N][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][S][Ring1][O],O=C(NC1=CC=C(Cl)C(Cl)=C1)NC2=NC(C3=CC=CC=C3)=CS2
[C][C][C][=C][S][C][=Ring1][Branch1][C@@H1][N][C@@H1][Branch1][=N][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O][C][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=NH1+1][Ring2][Ring1][Branch1],CC=1C=CSC=1[C@@H1]2N[C@@H1](C3=CC(Br)=CC=C3O)CC(C4=CC=CC=C4O)=[NH1+1]2
[C][C][C][C][=Branch1][C][=O][N][C][=C][C][Branch1][=N][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][C][=C][Branch1][Branch1][O][N][C][=Branch1][C][=O][C][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring2][Ring1][=Branch2][Ring1][S],CCCC(=O)NC1=CC(NC2=CC=C(C)C3=C2)=CC=C(ONC=O)CC(C)(C)CC=C13
[O][=C][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][NH2+1][C@H1][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][C@@H1][Ring2][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],O=C1[C@H1](C2=CC=CC=C2)[C@@H1](C3=CC=CC([N+1](=O)[O-1])=C3)[NH2+1][C@H1](C4=CC=CC([N+1](=O)[O-1])=C4)[C@@H1]1C5=CC=CC=C5
