selfies,smiles
[C][=C][C][=C][Branch2][Ring2][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][O][Ring1][O][C][=C][Ring1][P][C][=C][Ring2][Ring1][#C][C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C1=CC=C(NC(=O)NC2=CC=C(C3=NC(C4=CC=CC=C4)=NO3)C=C2)C=C1CF
[=C][C][=C][Branch2][Ring2][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][O][Ring1][O][C][=C][Ring1][P][C][=C][Ring2][Ring1][#C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C1C=C(NC(=O)NC2=CC=C(C3=NC(C4=CC=CC=C4)=NO3)C=C2)C=C1F
[C][=C][C][=C][Branch2][Ring2][Ring2][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][O][Ring1][O][C][=C][Ring1][P][C][=C][Ring2][Ring1][#C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C1=CC=C(NC(=O)NC2=CC=C(C3=NC(C4=CC=CC=C4)=NO3)C=C2C)C1F
[N][#C][C][=C][Branch2][Ring2][#Branch1][N-1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][O][Ring1][O][C][=C][Ring1][P][C][=C][Ring2][Ring1][#C][C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],N#CC=C([N-1]C(=O)NC1=CC=C(C2=NC(C3=CC=CC=C3)=NO2)C=C1C=C)CF
[C][=C][C][=C][Branch2][Ring2][#Branch1][C][=C][C][Branch2][Ring2][#Branch1][C][=N][C][Branch2][Ring1][N][C][=C][C][=C][Branch2][Ring1][C][N-1][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=N][O][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][#C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C1=CC=C(C=CCC=NC(C=CC=C([N-1]C(=O)C2=CC=CC(F)=C2N)O)C=C1)F
[C][=C][C][=C][Branch2][Ring2][#Branch1][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][Ring1][C][=Ring2][Ring1][#C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C=1=CC=C(NC(=O)COC=CC=CNC(=O)C=CC=C([N+1](=O)[O-1])C(F)=C)CC=1F
[C][=C][C][=C][Branch2][Ring2][#Branch1][C][=N][C][Branch2][Ring1][N][C][=C][C][=C][C][Branch1][=N][C][=Branch1][C][=O][N][C][=C][C][=C][S][Ring1][Branch1][=C][Ring1][=C][=N][O][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][#C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C1=CC=C(C2=NC(C3=CC=CC(C(=O)NC4=CC=CS4)=C3NO2)C=C1)F
[S][C][=C][Branch1][C][O-1][C][=C][Branch2][Ring2][#Branch1][/C][=C][/C][=C][Branch2][Ring1][#Branch1][=N][/N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring2][O][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring2][=N][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],S12C=C([O-1])C=C2/C=C/C=C1N/NC3=CC=CC(=C3)C4=CC=CC=C4C=C
[=C][=C][Branch2][Ring2][#Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][O][Ring1][O][C][=C][Ring1][P][C][=C][Ring2][Ring1][#C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C1=C(NC(=O)NC2=CC=C(C3=NC(C4=CC=CC=C4)=NO3)C=C2C=C1)F
[C][C][=C][C][=C][Branch2][Ring2][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][O][Ring1][O][C][=C][Ring1][P][C][=C][Ring2][Ring1][=C][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F][F],C1C=CC=C(NC(=O)NC2=CC=C(C3=NC(C4=CC=CC=C4)=NO3)C=C2C=C1)F
