selfies,smiles
[C][=C][Branch1][C][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Branch1][Ring2][N][=Ring1][=Branch2][C][=C][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][=C][Ring1][O],C=1=C(C)C([N+1](=O)[O-1])=C(N=1)C=C(C([O-1])=O)C=C
[C@@H1][Branch1][#C][C][N][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=N][Ring1][Branch2][N][C][=Branch1][C][=O][C][Branch1][=C][C][=C][N][Branch1][Ring1][C][C][C][=C][Ring1][#Branch1][=N][N][=C][Ring1][#C],[C@@H1](CN1N=C([N+1](=O)[O-1])C=N1)NC(=O)C(C2=CN(CC)C=C2NN)=C
[S][Branch1][#Branch2][N][N][=N][C][=C][C][=C][Ring1][=Branch1][Branch1][C],SNN=NC=CC=C
[O][=C][Branch2][Ring1][=N][N][N][C@@H1][Branch1][=C][C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][C][Ring1][=C][C][C][C][C][C][Ring1][=Branch1][N][C][C][NH1+1][Branch1][C][C][C],O=C(NN[C@@H1](CC(=O)N1CCCC1C)C2CCCCC2)NCC[NH1+1](C)C
[C][Branch1][C][N][C][=Branch1][C][=O][C][=C][Branch1][C][C][O][N][=C][Ring1][=Branch1][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2],C(N)C(=O)C1=C(C)ON=C1C2=CC=CC([N+1](=O)[O-1])=C2
[C][N][=C][N][Branch1][Ring1][C][C][N][=C][Ring1][#Branch1][N][N][=C][Branch1][=C][C][C][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][C][Ring2][Ring1][Ring2],CN=CN(CC)N=CNN=C(CCC1=CC=C(OC)C=C1)CC
[C][Branch2][Ring2][#Branch1][C][N][N][=C][Branch1][#Branch2][C][Branch1][=Branch1][N][Branch1][C][C][=O][=O][C][=Ring1][#Branch2][O][C][=C][N][Branch1][C][C][C][=Ring1][S],CC=1NN=C(C(N(C)O)=O)C=1OC=CN(C)C
[C][=Branch1][C][=O][Branch1][C],C=O
[C][=C][C][=C][Branch2][Ring2][O][C][=C][C][Branch2][Ring1][S][C@H1][Branch2][Ring1][#Branch2][N][C@H1][Branch1][=C][C][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=O][C][Ring1][#C][C][=N][N][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][#Branch2],C1=CC=C2C=C3C([C@H1](N[C@H1](CC(N4CCOCC4)=O)C3C=NN2)C)=C1
[S][Branch1][=N][O][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C@H1][C][C][=C][C][=N][C][=C][Ring1][=Branch1][Ring2][Ring1][Ring2],S1(OC2=CC=CC(C)=C2)C(=O)[C@H1]CC3=CC=NC=C31
[C][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C][Branch1][C][N][=O][C][=C][Ring2][Ring1][Branch1],C=C(C(=O)NCC1=CC=C([N+1](=O)[O-1])C=C1C)CN=O
[C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch1][C][C][N][Branch2][Ring1][#Branch1][/C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=C][Ring1][N][C][#N][N][Branch1][C][C][C][Ring2][Ring1][#Branch1][=O],C(C(=O)[O-1])=C(C)N(/C1=CC(C2=CC=CC=C2)=NC=C1C#N)CCC=O
[C][C][=Branch1][C][=O][C][=N][C][=N][N][Ring1][Branch1][Ring1][=Branch2],C1C(=O)C2=NC=NN21
[N][=C][C][=C][C][=N][C][=C][C][Ring1][=Branch1][=N][N][Ring1][=Branch2][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][N][Ring1][Branch1][C][C@@H1][Branch1][Ring1][C][O][C][C][Ring1][Branch2],N=CC1=C2C=NC=CC2=NN1CC(=O)NCC3=CC=C4N3C[C@@H1](CO)CC4
[O][=C][Branch1][P][N][C][=N][C][Branch1][Ring1][C][O][=C][S][Ring1][#Branch2][C][C][N][Branch1][#Branch2][C][=Branch1][C][=O][C][C][C][Ring1][O],O=CNC=NC(CO1)=CSCCNC(=O)CCC1
[C][C@@H1][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][=C][Ring1][=Branch2][C][N][Branch1][#Branch2][C][=Branch1][C][=O][C][C][C][Ring1][=N][C][Ring2][Ring1][Ring1][C][=C][N][Branch1][C][C][C][=C][Ring1][#Branch1],C1[C@@H1](C2=CC=C(C(=O)N)C=C2)CN(C(=O)CCC)C13C=CN(C)C=C3
[C][Branch1][Ring1][O][C][=C][Branch1][C][F][C][=C][Ring1][=Branch2][N][N][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][S][Ring1][Branch2],C1(OC)=C(F)C=C1NN=C([N+1]([O-1])=O)S
[C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Ring1][N][C][C@@H1][Branch1][Ring1][C][O][C@@H1][Branch1][=Branch1][C][Branch1][C][O-1][=O][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C],C(C(NC[C@@H1](CO)[C@@H1](C([O-1])=O)[C@@H1]O)[C@H1])OC
[C][Branch1][C][C][=N][N][Branch2][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][NH1][C][=Ring2][Ring1][Ring2][C],C(C)=NN(CCC(=O)NC1=CC=C(C(N)=O)C=C1)C(=O)[NH1]CC
[C][Branch1][P][C@H1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][N][Branch1][C][C][C][=Branch1][C][=O][N][Ring1][P][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2],C1([C@H1]C2=CC=C(OC)C=C2NC)C(=O)N1C(=O)C3=CC=CC=C3C4=CC=C(OC)C=C4
[O][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][=N][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][C][C@@H1][Ring2][Ring1][Ring1][C][Branch1][O][C][C][=C][N][Branch1][Ring1][C][C][N][=Ring1][#Branch1][=O],O(C)CCCC(=O)N(C1=CC=CC(OC)=C1)C[C@@H1]C(C=2C=CN(CC)N=2)=O
[C@H1][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O][C@@H1][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring2][Ring1][N],[C@H1](N1C(=O)C2=C(C=CC=C2)C1=O)(C(=O)NCCOC3=CC=CC=C3CC)C
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch2][Ring1][=Branch2][C][=N][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][O][Ring1][#C][=C][C][=C][C][=C][Ring2][Ring1][#Branch1],C12=CC=C(C=C1)C2C3=NC4=C(C=CC=C4)N=C3O
[S][C][=C][Branch2][Ring1][=Branch1][C][Branch2][Ring1][Ring1][N][C][C][C][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=O][C][Ring1][=N][=O][C][=C][C][=C][Ring2][Ring1][Branch1],SC=C(CNCCCC(N1CCOCC1)=O)N=O
[C][Branch2][Ring1][#Branch2][N][C][Branch2][Ring1][Ring1][C][N][C][=Branch1][C][=O][C][C@H1][Branch1][Ring2][C][O][C][C][Ring1][=Branch2][=O][=C][C][=C][N][Branch1][Ring1][C][C][N][=C][Ring1][#Branch1][O],C(NC(CN1C(=O)C[C@H1](COC)C1=O)C2=C)N(CC)N=C2O
[C][=N][C][=C][N][=C][Ring1][=Branch1][C][N][C][=C][C][=C][Branch1][Branch2][N][C][Branch1][Ring1][O][C][=O][C][=C][Ring1][O][N][=Ring2][Ring1][Ring1],C1=NC=CN=C1CNC2=CC=C(NC(OC)=O)C=C2N
[S][C][O][C][=C][Branch1][=Branch1][C][Branch1][C][O-1][=O][N][=C][N][Ring1][Branch2][N][N][=C][C][=Ring1][#Branch2],SCOC1=C(C([O-1])=O)N=CN1NN=CC
[N][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][C@H1][C@H1][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][N][Ring1][#Branch2][C][Branch1][C][C][=N][N][Branch1][C][C][C][=Ring1][#Branch1],N(C(=O)C1[C@H1]2[C@H1](C=CC=C2)CCN1C(C)=N)N(C)C
[O][=C][Branch1][C][O-1][C][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][Cl][=C][Ring1][#Branch2][N][=C][Ring1][S],O=C([O-1])CCN1C(=O)C=C2C(OC)=C(C#N)C(Cl)=C2N=C1
