selfies,smiles,sa_score,CNS_MPO
[C][O][C][=Branch1][C][=O][C][O][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=NH1+1][C][=C][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][O][Ring1][P],COC(=O)COC1=CC(C2=CC=CC=C2)=[NH1+1]C3=CC=C(NC(=O)NC4=CC=C(Br)C=C4)C=C13,2.9110280899325325,1.975552380952378
[C][C][=C][C][=C][Branch1][C][C][C][Branch2][Ring2][Ring2][N][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][Ring1][=C][=C][Ring2][Ring1][C][=C][Ring2][Ring1][=N],CC1=CC=C(C)C(NC(=O)NC2=CC=C3N=C(NC(=O)C4=CC=CC=C4)SC3=C2)=C1,1.960395857425132,1.3928130158730148
[C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][/N][=C][/C][=C][C][=C][Branch1][P][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][O][Ring1][#C],COC1=CC=C(Cl)C=C1N/N=C/C2=CC=C(C3=CC=C4C(=C3)CCCC4)O2,2.3087415411953742,2.1263325396825388
[C][C][C][C][=C][C][=C][Branch2][Ring2][Branch1][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][=C][C][=C][Ring1][P][N][C][=C][Ring2][Ring1][#Branch2],C1CCC=CC=C1NC(=O)C2=CC(C(=O)NC3=CC=C(Cl)C=C3Cl)=CC=C2NC=C,2.7537113178060637,1.593566666666668
[C][C][C][C][N][C][Branch2][Ring1][#Branch1][S][C][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][=N][O][Ring1][N][=N][C][=Branch1][C][=O][C][=Ring2][Ring1][Ring1][C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1],CCCCNC(SCC1=NC(C2=CC=CC(Cl)=C2)=NO1)=NC(=O)C3C(C)C=CC=C3,3.8890624963392977,2.6504603174603147
[C][C][=C][C][Branch1][C][C][=C][S][C][Branch2][Ring2][=Branch1][N][Branch1][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][S][C][Branch1][C][C][=C][Ring1][#Branch1][=N][C][Ring1][=N][=C][Ring1][P][=N][Ring2][Ring1][N],CC=CC(C)=CSC(N(C1=CC=CC(Cl)=C1)S(=O)(=O)C=C2C=CSC(C)=C2NC)=CN,4.273462255638596,1.737200793650792
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch2][Ring2][Branch1][C@H1][C][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O-1][=N][NH1][C][=Ring1][N][C][=Branch1][C][=O][N][Ring1][S][C][C][=C][C][=C][O][Ring1][Branch1][=C][C][=C][Ring2][Ring1][N],CC(C1)(C)C=CC([C@H1]2C=3C(C4=CC=CC=C4[O-1])=N[NH1]C=3C(=O)N2CC5=CC=CO5)=C1,3.9478016117076393,2.8928777777777768
[C][O][C][=C][C][=C][Branch2][Ring2][=C][N][C][=Branch1][C][=O][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring1][P][C][=C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][S],C1OC=CC=CNC(=O)C2(C)C3=CC=C(NC(=O)NC4=CC=C(Cl)C=C4)C=C3C=C2C=C1,4.210400492930306,1.951706349206348
[C][C][=C][C][=C][Branch2][Ring2][=Branch2][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][#Branch1][N][C][=C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=NH1+1][C][Branch1][C][C][=N][Ring1][=N][C][=C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][=C][C],CC1=CC=C(NC(=O)NC2=CC=C(NC3=CC(N4CCCCC4)=[NH1+1]C(C)=N3)C=C2)C=C1C,2.877728966476205,1.9039790476190475
[C][C][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring2][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch2][Ring1][#Branch1][N][C][=C][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=NH1+1][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][#C],CC(C)CC=CC1=C(S(=O)(=O)C=CC=CC2NC=CC(N3CCOCC3)=[NH1+1]CN4CCCCC4)N2C=C1,4.757026543216986,2.952223015873013
