selfies,smiles,sa_score,CNS_MPO
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][Branch2][C@H1][C][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=N][NH1][C][=Ring1][N][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][N],C1OC(=O)C=CC=C1[C@H1]2C=3C(C4=CC=CC=C4O)=N[NH1]C=3[C@H1](C5=CC=C(Cl)C=C5)N2C=C,4.072038830870654,2.4845285714285694
[C][C][C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][=C][C][C][=Branch1][C][=O][N][C][C][=C][O][N][=Ring1][Branch1][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][Cl][C],CCCCCCCC(=O)N(CC(=O)NC=1C=CON=1)C(F)C=CC=CCl,3.645532771131175,2.8612563492063465
[C][C][=C][C][=C][N][=C][Branch2][Ring2][C][C][=C][C][Branch2][Ring1][Branch1][/NH1+1][=C][/C][=C][Branch1][C][O-1][C][=C][Branch1][C][C][C][Branch1][C][Br][=C][Ring1][=Branch2][O-1][=C][C][=C][Ring2][Ring1][C][O][O][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][N],CC1=CC=C2N=C(C3=CC(/[NH1+1]=C/C4=C([O-1])C=C(C)C(Br)=C4[O-1])=CC=C3O)OC2=C1,4.059661502717807,3.4836457142857156
[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring1][C@@H1][C][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=N][NH1][C][=Ring1][N][C][=Branch1][C][=O][N][Ring1][S][C][C][=C][C][=C][O][Ring1][Branch1][C][=C][Ring2][Ring1][N],CC(C)C1=CC=C([C@@H1]2C=3C(C4=CC=CC=C4O)=N[NH1]C=3C(=O)N2CC5=CC=CO5)C=C1,2.9770646829055067,2.0898484126984105
[C][C][=C][C][Branch1][C][C][=C][C][Branch2][Ring2][Ring1][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][P][F][=C][Ring2][Ring1][=N],C1C=CC(C)=CC1NC(=O)C=CC(S(=O)(=O)N2CCCCCC2=C)C=CF,4.679666776065247,3.623628571428572
[C][C][N][Branch1][Ring1][C][C][C][N][C][=Branch1][C][=O][C][S][C@@H1][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][S][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][=N][Ring1][Branch2][=C][Ring1][=C][C][=C][Ring2][Ring1][Branch2],CCN(CC)CN1C(=O)CS[C@@H1]1C2=CC=C(NS(=O)(=O)C3=CC=CC(C4=NOC(C5CC5)=N4)=C3)C=C2,3.256962442826099,2.8245619047619
[C][C][=C][C][=C][Branch2][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring1][=Branch1][C][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][O][Ring1][N][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring2][Ring1][=N][C],CC1=CC=C(S(=O)(=O)N(CC2=NC(C3=CC=C(Cl)C=C3)=NO2)C4CCCCC4C=C1)C,4.37084424609164,2.985215079365078
[C][C][=C][C][Branch2][Ring2][C][O][C][C][=N][C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1][=C][Ring1][=C][=N][O][Ring2][Ring1][Ring1][=C][C][=C][Ring2][Ring1][O][Br],CC1=CC(OCC2=NC(C3=CC=CC(NC(=O)C4=CC=CS4)=C3)=NO2)=CC=C1Br,2.2359033830596875,2.434205714285712
[C][C][Branch1][C][C][C][=Branch1][C][=O][N][Branch2][Ring1][#Branch2][C][O][C][=C][C][=C][C][=C][N][=C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][=C][Branch1][C][C][C][Ring2][Ring1][C][=C][Ring2][Ring1][=Branch1],CC(C)C(=O)N(COC=CC1=CC=CN=C(C2=CC=C(Br)C=C2)C=C)CCC1=C,4.289248334320925,3.137158730158728
[C][C][=C][C][=C][Branch2][Ring2][#C][C][=N][O][C][Branch2][Ring2][Ring2][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C@@H1][Branch1][C][C][C][C][Ring1][#Branch1][Ring2][Ring1][Ring2][=N][Ring2][Ring1][=Branch2][C][=C][Ring2][Ring1][#C],C1C=C2C=CC=NOC(C3=CC=CC=C3S(=O)(=O)NC4CC[C@@H1](C)CC4N2C)=C1,5.828651942019038,3.6095420634920643
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][/N][=C][/C][=C][C][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][P][O-1],CC1=CC=CC=C1/N=C/C2=CC(CC3=CC=CC=C3Br)=CC([N+1](=O)[O-1])=C2[O-1],2.8610257594088715,2.9847787301587276
[C][O][C][=C][C][=C][N][=C][Branch2][Ring2][Ring2][C][=C][C][=C][Branch2][Ring1][#Branch1][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][=C][Ring2][Ring1][C][S][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][N],COC=CC1=CN=C(C2=CC=C([N-1]S(=O)(=O)C3=CC=C(Cl)C(Cl)=C3)C=C2S)C1=C,4.194426844598148,2.345127777777777
[C][C][C][=C][C][=C][Branch2][Ring2][O][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][S][C][=Ring1][Branch1][C][=N][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][=N][O][Ring1][=C][C][=C][Ring2][Ring1][=C],CCC1=CC=C(N(C)S(=O)(=O)C=2C=CSC=2C3=NC(C4=CC=C(C(C)C)C=C4)=NO3)C=C1,2.4958463577805503,2.6138222222222165
[O][=C][Branch1][C][O-1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C@H1][C@H1][C][C][C@H1][Branch1][Ring2][C][Ring1][Branch1][C@H1][Ring1][#Branch1][C@H1][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][N][Ring2][Ring1][Ring1],O=C([O-1])C1=CC=CC(=C12)[C@H1]3[C@H1]4CC[C@H1](C4)[C@H1]3[C@H1](C5=CC=C6C(=C5)OCO6)N2,4.768579615447467,3.6346928571428565
[C][C][C][C][O][C][=C][C][=C][Branch2][Ring1][O][C][=N][O][N][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][O][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][C][C][=C][Ring2][Ring1][Branch2],CCC1COC=CC=C1C2=NON=C2NC(=O)[C@H1](C)OC=CC(C)=CC=C,4.647535148534882,2.8980515873015866
[C][C][=C][C][=C][Branch2][Ring2][O][N][C][C@H1][Branch2][Ring1][=C][C][=N][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][#Branch1][C][=C][Ring1][=N][=N][O][Ring2][Ring1][C][C][C][Ring2][Ring1][#Branch1][=O][C][=C][Ring2][Ring1][=C][C],CC1=CC=C(N2C[C@H1](C3=NC(C4=CC=C(N5CCCCCC5)C=C4)=NO3)CC2=O)C=C1C,2.764939751280556,3.092652698412697
[C][C][=C][C][=C][Branch2][Ring2][O][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][S][C][=N][C][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=N][C][=C][C][=C][C][=C][Ring1][P][Ring1][=Branch1][C][=C][Ring2][Ring1][S],CC=CC1=C(NC(=O)COC(=O)CSC=NC2=CC(C3=CC=C(C)C=C3)=NC4=CC=CC=C24)C=C1,3.336733103154903,2.3269541269841225
[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring2][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][S][C][Branch1][=C][N-1][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1][=N][C][Ring1][=C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][=N][C],CC1=CC(C)=C(S(=O)(=O)NC2=CC=C3SC([N-1]C(=O)C4CCCCC4)=NC3=C2)C=C1C,3.114983809703193,2.1424738095238123
[C][C][=C][C][=C][Branch2][Ring2][N][C@@H1][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][N][C][=N][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][C@H1][Branch1][C][C][C][C][Ring1][Branch2][S][Ring1][O][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2],C1C=CC=C[C@@H1]1C(=O)NC2=NC3=C(S2)C[C@H1](C)CC3S,4.343109791481167,2.855377777777776
[O-1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C@H1][C][C][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][=N][C@H1][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][N][Ring2][Ring1][=Branch1],[O-1]C1=CC=C(Cl)C=C1[C@H1]2CC(C3=CC=C4C(=C3)OCO4)=N[C@H1](C5=CC=CC=C5Cl)N2,3.763909828397775,2.948195238095237
[C][C][=C][C][=C][Branch2][Ring2][=Branch1][O][C][C@H1][C][C][=C][S][C][=Ring1][Branch1][C][C][N][Ring1][=Branch2][C][=Branch1][C][=O][C][N][Branch1][O][C][=Branch1][C][=O][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch1][C][C][C][C][Branch1][C][C][=C][Ring2][Ring1][S],CC=C1C=C(OC[C@H1]2C=3C=CSC=3CCN2C(=O)CN(C(=O)CC(C)C)C=O)C(C)CC(C)=C1,4.411638508941568,3.2216873015872958
[O][=C][Branch1][#C][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][N][C][=N][N][=C][Branch2][Ring1][Ring2][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][S][Ring1][P],O=C(NC1=CC=C(Cl)C(Cl)=C1)N2C=NN=C(OC3=CC=C(C(F)(F)F)C=C3)S2,3.068592751763255,2.4291277777777767
[C][O][C][=C][C][=C][C][Branch2][Ring1][S][C@H1][N][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][C][N@@H1+1][Ring1][=N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][=C][Ring2][Ring1][O],C1OC=CC=CC1[C@H1]2N(CC3=CC=CC=C3F)CC[N@@H1+1]2CC4=CC=CC=C4F,4.505047457608321,4.370677777777779
[C][C][C][C][C][=C][Branch1][C][C][NH1][C][=N][C][Branch2][Ring1][#C][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][C][Ring1][=N][=O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Branch1][C][N][C][Ring2][Ring1][#Branch2][=O],CC1CCC=C(C)[NH1]C2=NC(N(CC3=CC=CC(C)=C3)C2=O)C=CC(N)C1=O,5.537356246204176,2.9151212698412707
[F][C][=C][C][=C][Branch2][Ring1][P][C][=N][O][C][Branch2][Ring1][=Branch1][C][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][=C][S][Ring1][N][=N][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2],FC1=CC=C(C2=NOC(CC3=NC(C4=CC=CC(Cl)=C4)=CS3)=N2)C=C1,2.1895420686318587,2.798904761904761
[C][C][=C][C][=C][C][Branch2][Ring2][N][O][C][=C][C][=C][Branch2][Ring1][Branch2][C@@H1][C][C][N@@H1+1][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=C][O][Ring1][Branch1][C][C][Ring1][=C][C][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=N][N][=C][Branch1][C][C][C][=C][Ring1][#Branch1][Ring2][Ring1][Branch2][=C][Ring2][Ring2][C],C1C=CC=C2C(OC=CC3=C1[C@@H1]CC[N@@H1+1](C(=O)C4=CC=CO4)C3C=C)(C)C=C2,6.097333851437834,3.735984444444443
