selfies,smiles
[C][C][=C][C][=C][C][Branch2][Branch1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][S][C][N][C][=N][C][Branch2][Ring1][Branch1][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=N][O][Ring1][N][=C][Ring1][P][C][=C][Ring2][Ring1][Branch2][=C][Ring2][Ring2][C],CC1=CC=CC(NC(=O)NC2=CC=C(CN3C=NC(C4=NC(C5=CC=CC(F)=C5)=NO4)=C3)C=C2)=C1
[C][C][=C][C][=C][Branch2][Ring2][#Branch2][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][Branch2][Ring1][#Branch1][C][=N][O][C][Branch1][=C][C][O][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][=NH1+1][Ring1][=C][=C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][#C],CC1=CC=C(NC(=O)COC2=CC=CC(C3=NOC(COC4=CC=CC(C)=C4)=[NH1+1]3)=C2)C=C1
[O][=C][Branch2][Ring1][#C][N][C][=C][C][=C][S][C][Branch1][=C][N][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1][=N][C][Ring1][=C][=C][Ring2][Ring1][C][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1],O=C(NC1=CC=C2SC(NC(=O)C3CCCCC3)=NC2=C1)NC4=CC=CC(Cl)=C4
[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][=Branch1][C][=N][O][C][Branch2][Ring1][O][C][S][C][=N][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][NH1][Ring1][P][=N][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][=N],CC(C1)C=CC=C(C=NOC(C2SC=NC(=O)C=C(C3=CC=C(OC)C=C3)[NH1]2)=N)C=C1
[C][C][=C][C][=C][Branch2][Ring2][=Branch2][C][N][C][=Branch1][C][=O][C][S][C@@][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][C][C][=C][Ring2][Ring1][=C],CC1=CC=C(CN2C(=O)CS[C@@]23C(=O)N(CC4=CC=C(Cl)C=C4)C5=CC=CC=C53)C=C1
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][C][O][=C][O][C][=Branch1][C][=O][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1],CC(C)(C1)C=CC(O)=COC(=O)C(C(=O)C2=CC=C(Cl)C(Cl)=C2)=CC=C1
[C][C][=C][C][=C][Branch2][Ring2][Branch2][N][C][=Branch1][C][=O][N][C][=C][C][C][=Branch1][C][=O][NH1][C][Branch1][P][O][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][=C][Branch1][C][C][C][Ring1][S][=C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][=C],C1C=CC=C(NC(=O)N2C=CC3C(=O)[NH1]C(OC4=CC=CC(C)=C4CC)C3=C2)C=C1
[C][C][=C][C][=C][Branch2][Ring2][=Branch2][C@@H1][Branch2][Ring1][=C][C][N][C][=Branch1][C][=O][C][=C][C][=Branch1][C][=O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][C][C][=C][Ring1][Branch2][O][Ring1][=N][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring2][Ring1][=C],CC1=CC=C([C@@H1](CNC(=O)C2=CC(=O)C3=CC(Cl)=C(C)C=C3O2)N4CCCCC4)C=C1
[O][=S][=Branch1][C][=O][Branch2][Ring1][N][N-1][C][=C][C][=C][Branch1][P][C][=C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][NH1][Ring1][#Branch2][C][=C][Ring1][S][C][Branch1][C][F][=C][C][=C][C][=C][Ring1][=Branch1],O=S(=O)([N-1]C1=CC=C(C2=CC3=CC(F)=CC=C3[NH1]2)C=C1)C(F)=CC=CC=C
[C][C][=C][C][=C][C][Branch2][Ring1][P][N][Branch1][=C][C@H1][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2][C],CC1=CC=CC(N([C@H1](C)C2=CC=CC=C2F)S(=O)(=O)C3=CC=CC=C3C)=C1C
